ProductID,ProductName,TotalQuantity,TotalRevenue,OrderCount,AverageOrderValue,AveragePrice,AverageDiscount,ReturnRate,CancellationRate,UniqueCustomers,UniqueCategories,UniqueBrands,RecentDemand,HistoricalAverageDemand,DemandVolatility,DemandGrowth,repeat_customers,repeat_customer_ratio,avg_customer_frequency_for_product
P00019,LED Desk Lamp,6344,1921948.41,2098,916.0859914204003,298.77226406101045,0.07621544327931364,0.033841754051477595,0.027645376549094377,2059,6,10,314,3.476164383561644,3.583987074496252,0.003660501611321143,39,0.01894123360854784,1.018941233608548
P00020,Office Chair,5998,1827426.35,2018,905.56310703667,299.8111645193261,0.07450445986124876,0.02576808721506442,0.023290386521308225,1978,6,10,311,3.2865753424657536,3.462607359147748,0.051415286577007224,40,0.020222446916076844,1.0202224469160768
P00021,Backpack,5848,1749971.14,1910,916.2152565445026,296.67631937172774,0.07321989528795811,0.032460732984293195,0.03717277486910995,1880,6,10,276,3.2043835616438354,3.4711186935019605,-0.04297765617875049,30,0.015957446808510637,1.0159574468085106
P00022,Water Bottle,6275,1895467.95,2088,907.7911637931035,300.156882183908,0.07253352490421457,0.032088122605363985,0.033045977011494254,2048,6,10,297,3.4383561643835616,3.5658986611000736,-0.040239043824701226,40,0.01953125,1.01953125
P00023,Cookware Set,6130,1877038.73,2058,912.0693537414966,303.38642857142855,0.0728862973760933,0.03547133138969873,0.030612244897959183,2023,6,10,337,3.3589041095890413,3.4820905988668103,0.1147815841943085,35,0.01730103806228374,1.0173010380622838
P00024,Yoga Mat,6077,1847898.09,2041,905.3885791278785,300.54951004409605,0.07337089661930427,0.03968642822146007,0.03233708966193043,1999,6,10,278,3.3298630136986302,3.5853795513553512,-0.0723675790320516,39,0.01950975487743872,1.0210105052526264
P00025,Running Shoes,5948,1828658.19,2002,913.4156793206793,302.4734265734266,0.07455044955044955,0.03196803196803197,0.032467532467532464,1962,6,10,285,3.259178082191781,3.3547891244748604,-0.028384891279982116,40,0.020387359836901122,1.020387359836901
P00026,Sunglasses,5842,1788111.81,1952,916.0408862704918,304.47684938524594,0.07425717213114753,0.03125,0.0353483606557377,1917,6,10,361,3.2010958904109588,3.469257040405174,0.2530430978736353,33,0.017214397496087636,1.0182576943140322
P00027,Winter Jacket,5917,1806053.51,1954,924.2853172978506,300.59975435005117,0.0740532241555783,0.030706243602865915,0.028147389969293755,1917,6,10,266,3.242191780821918,3.388007037284778,-0.08840816479822733,36,0.018779342723004695,1.019300991131977
P00028,Jeans,6037,1882591.82,1969,956.1157034027425,304.9883240223464,0.07041645505332657,0.03047232097511427,0.029964448958862366,1934,6,10,339,3.3079452054794523,3.4840594701773906,0.13867262989343487,35,0.01809720785935884,1.0180972078593589
P00029,T-Shirt,5882,1787855.05,1978,903.8700960566229,302.0205106167846,0.07426693629929222,0.028311425682507583,0.028816986855409503,1951,6,10,247,3.223013698630137,3.388757973893043,-0.1484850202123239,27,0.013839056893900564,1.0138390568939006
P00030,Dress Shirt,5960,1896765.36,2007,945.074917787743,312.3089187842551,0.0722969606377678,0.03587443946188341,0.03736920777279522,1967,6,10,297,3.265753424657534,3.482578004208278,0.010486577181207934,39,0.019827147941026944,1.0203355363497713
P00031,Kids Toy Car,6131,1891082.43,2004,943.6539071856287,305.9766866267465,0.07330339321357286,0.02844311377245509,0.02944111776447106,1963,6,10,285,3.3594520547945206,3.582991577852209,-0.05738596205078028,41,0.020886398369842078,1.0208863983698422
P00032,Board Game,6200,1863310.96,2039,913.8356841589014,297.8025649828347,0.0753555664541442,0.03187837175085827,0.029916625796959292,2000,6,10,284,3.3972602739726026,3.583510779574962,-0.07114695340501787,39,0.0195,1.0195
P00033,Puzzle 1000pc,5884,1797812.49,1965,914.9172977099237,305.1610687022901,0.07534351145038168,0.029516539440203562,0.03104325699745547,1926,6,10,268,3.224109589041096,3.477948955253955,-0.07640305158999916,39,0.020249221183800622,1.0202492211838006
P00034,Desk Organizer,6079,1843103.26,2026,909.7252023692004,302.43639684106614,0.07722112537018758,0.025172754195459033,0.033070088845014806,1980,6,10,342,3.330958904109589,3.4366207664969544,0.14081263365685137,44,0.022222222222222223,1.0232323232323233
P00035,Desk Plant,5847,1759672.6199999999,1941,906.5804327666151,301.9291550747038,0.07490984028851108,0.03245749613601236,0.027820710973724884,1911,6,10,246,3.203835616438356,3.3153164252117775,-0.14685593751781534,30,0.015698587127158554,1.0156985871271587
P00036,Smart Light Bulb,6131,1868940.58,2036,917.9472396856582,301.59266699410614,0.07514734774066797,0.0343811394891945,0.029960707269155205,1993,6,10,310,3.3594520547945206,3.474704917110939,0.025299479874590025,43,0.021575514300050176,1.0215755143000502
P00037,Router,6202,1850756.2,2054,901.0497565725414,295.2886075949367,0.07266309639727361,0.024342745861733205,0.027750730282375853,2010,6,10,269,3.3983561643835616,3.659387341806773,-0.12048980615572036,44,0.021890547263681594,1.0218905472636817
P00038,External HDD 2TB,5858,1786108.33,1975,904.3586481012659,303.50227341772154,0.07521518987341773,0.03189873417721519,0.026835443037974683,1944,6,10,341,3.20986301369863,3.4110423165319776,0.18038959068320626,31,0.01594650205761317,1.0159465020576133
P00039,Graphic Tablet,5789,1786772.26,1981,901.9546996466431,305.72599192327107,0.07478546188793539,0.028773346794548207,0.03230691569914185,1948,6,10,293,3.1720547945205477,3.335742670480232,0.02632387094297628,33,0.016940451745379878,1.01694045174538
P00040,Microphone,6196,1871740.68,2034,920.2264896755162,301.6710078662733,0.0721976401179941,0.024582104228121928,0.03343166175024582,1996,6,10,308,3.395068493150685,3.494054757636626,0.007997991535757754,38,0.01903807615230461,1.0190380761523046
P00041,Webcam Full HD,6002,1799332.82,2013,893.8563437655241,299.1981917536016,0.07374565325384996,0.03527074018877298,0.02334823646299056,1974,6,10,302,3.288767123287671,3.5191222401365607,0.02030804546632603,39,0.019756838905775075,1.0197568389057752
P00042,Projector Mini,5873,1805867.58,1976,913.9005971659919,304.01404352226723,0.0709261133603239,0.02327935222672065,0.032388663967611336,1943,6,10,284,3.2180821917808218,3.5256891891645363,-0.01942978224265468,32,0.016469377251672673,1.0169840452907875
P00043,HDMI Cable 2m,5985,1847856.25,2002,923.0051198801199,304.16283716283715,0.07372627372627372,0.033466533466533464,0.03396603396603397,1970,6,10,312,3.2794520547945205,3.4749636698257715,0.057087162350320186,32,0.016243654822335026,1.016243654822335
P00044,Power Bank 20000mAh,5931,1794738.58,1966,912.8883926754833,302.11599694811804,0.07856052899287894,0.03255340793489318,0.02695829094608342,1933,6,10,277,3.24986301369863,3.3842111523615563,-0.05295153524794394,32,0.016554578375581996,1.017071908949819
P00045,Phone Tripod,5944,1866256.31,1996,934.9981513026053,309.04788577154306,0.07434869739478958,0.027054108216432865,0.02755511022044088,1952,6,10,293,3.2569863013698632,3.4272253483072554,-0.0004392851802004216,43,0.022028688524590164,1.0225409836065573
P00046,Car Charger,5754,1779795.27,1917,928.4273708920188,303.16596765779866,0.07274387063119457,0.029212310902451747,0.0297339593114241,1878,6,10,227,3.152876712328767,3.405551082911916,-0.20002510330977485,38,0.02023429179978701,1.0207667731629393
P00047,Memory Card 128GB,6240,1935138.4,2039,949.0624816086316,307.71205002452183,0.07900931829328102,0.032368808239333004,0.03334968121628249,2003,6,10,288,3.419178082191781,3.498145558777757,-0.0641025641025641,36,0.01797304043934099,1.017973040439341
P00048,Wireless Charger,6079,1812628.92,2034,891.1646607669616,297.3102064896755,0.07155850540806294,0.029006882989183875,0.02704031465093412,2001,6,10,307,3.330958904109589,3.505329653103777,0.02406280272705663,31,0.015492253873063468,1.0164917541229386
P00049,Children's Book,5619,1738112.57,1914,908.1047910135842,307.3121786833856,0.07324973876698014,0.03187042842215256,0.03657262277951933,1885,6,10,264,3.078904109589041,3.2902898915286487,-0.04728006169543819,28,0.014854111405835544,1.0153846153846153
P00050,Novel Bestseller,5894,1803054.57,1962,918.9880581039756,301.9253109072375,0.07655453618756372,0.02854230377166157,0.03160040774719674,1926,6,10,312,3.2295890410958905,3.4315680229846928,0.07340798552199979,36,0.018691588785046728,1.0186915887850467
