YearMonth,Year,Month,TotalOrders,ActiveCustomers,TotalQuantitySold,GrossMerchandiseValue,AverageOrderValue,AverageUnitPrice,AverageDiscount,ReturnedOrders,CancelledOrders,DeliveredOrders,ReturnRate,CancellationRate,AverageUnitsPerOrder,GrossDiscountAmount,NetRealizedRevenue,MoM_GMV_Growth,MoM_Order_Growth
2021-06,2021,6,1668,1645,5129,1593398.08,955.2746282973621,307.25064148681054,0.07535971223021583,39,52,1256,0.0234,0.0312,3.07,118540.45999999999,1521380.35,0.0137,-0.028
2021-07,2021,7,1718,1674,5142,1596668.4,929.3762514551804,305.7158556461001,0.07328288707799767,45,54,1288,0.0262,0.0314,2.99,114203.943,1493861.1800000002,0.0021,0.03
2021-08,2021,8,1704,1679,5056,1545324.3,906.8804577464789,301.25698356807516,0.07482394366197183,56,50,1269,0.0329,0.0293,2.97,118264.5185,1454366.82,-0.0322,-0.0081
2021-09,2021,9,1674,1634,5001,1534912.3,916.912962962963,301.0260394265233,0.07479091995221028,53,47,1260,0.0317,0.0281,2.99,109638.14700000001,1453835.54,-0.0067,-0.0176
2021-10,2021,10,1672,1651,5018,1511118.44,903.778971291866,300.208038277512,0.07745215311004784,62,48,1222,0.0371,0.0287,3.0,115625.2265,1411068.24,-0.0155,-0.0012
2021-11,2021,11,1587,1566,4674,1419480.77,894.4428292375552,301.82684940138626,0.07646502835538753,45,54,1169,0.0284,0.034,2.95,109500.45150000001,1322727.2200000002,-0.0606,-0.0508
2021-12,2021,12,1657,1627,5069,1520160.14,917.4171031985516,298.52887748943874,0.0716053108026554,64,48,1218,0.0386,0.029,3.06,104655.363,1422211.58,0.0709,0.0441
2022-01,2022,1,1744,1713,5270,1609759.87,923.0274483944954,301.4648222477064,0.0750573394495413,37,55,1324,0.0212,0.0315,3.02,122179.565,1526295.07,0.0589,0.0525
2022-02,2022,2,1510,1489,4525,1369866.29,907.1962185430464,302.5467814569536,0.07566225165562913,45,42,1120,0.0298,0.0278,3.0,105974.33549999999,1276430.69,-0.149,-0.1342
2022-03,2022,3,1710,1687,5089,1589809.35,929.7130701754387,305.6389298245614,0.07190058479532165,57,63,1266,0.0333,0.0368,2.98,114758.7055,1476950.2,0.1606,0.1325
2022-04,2022,4,1636,1602,4911,1515497.24,926.3430562347188,307.5717970660147,0.0738080684596577,49,54,1206,0.03,0.033,3.0,109985.398,1423754.3499999999,-0.0467,-0.0433
2022-05,2022,5,1709,1675,5044,1527845.26,893.9995669982446,302.21671737858395,0.07393212404915156,67,52,1268,0.0392,0.0304,2.95,114837.58750000001,1422809.28,0.0081,0.0446
2022-06,2022,6,1690,1660,5047,1533829.81,907.5916035502959,300.52372189349114,0.07248520710059171,51,55,1268,0.0302,0.0325,2.99,111002.8515,1439655.2599999998,0.0039,-0.0111
2022-07,2022,7,1689,1661,5051,1556516.29,921.5608584961516,303.09796329188873,0.07418590882178804,41,40,1280,0.0243,0.0237,2.99,113191.657,1484947.91,0.0148,-0.0006
2022-08,2022,8,1717,1690,5121,1541701.5,897.9041933605125,297.2327839254514,0.07015142690739662,45,69,1262,0.0262,0.0402,2.98,109829.12,1432010.48,-0.0095,0.0166
2022-09,2022,9,1645,1620,4850,1457859.6,886.2368389057751,298.75080243161096,0.07458966565349544,40,62,1213,0.0243,0.0377,2.95,106986.7875,1370581.17,-0.0544,-0.0419
2022-10,2022,10,1633,1600,4967,1534349.51,939.5894121249235,306.3677648499694,0.07412737293325168,46,48,1226,0.0282,0.0294,3.04,115202.09,1452913.27,0.0525,-0.0073
2022-11,2022,11,1642,1616,5010,1525937.46,929.3163580998781,301.98996345919613,0.07600487210718636,54,52,1212,0.0329,0.0317,3.05,115023.98550000001,1421601.1600000001,-0.0055,0.0055
2022-12,2022,12,1753,1721,5241,1604276.23,915.160427837992,300.6734683399886,0.07381631488876213,50,51,1332,0.0285,0.0291,2.99,112687.095,1518699.4300000002,0.0513,0.0676
2023-01,2023,1,1721,1686,5208,1567772.07,910.9657582800697,296.4798895990703,0.0746658919233004,43,37,1326,0.025,0.0215,3.03,115641.2445,1487964.61,-0.0228,-0.0183
2023-02,2023,2,1540,1519,4586,1384957.09,899.3227857142857,301.2848051948052,0.07720779220779221,38,48,1154,0.0247,0.0312,2.98,105793.422,1312920.56,-0.1166,-0.1052
2023-03,2023,3,1683,1660,5088,1557146.56,925.2207724301842,303.19020202020204,0.07082590612002376,46,47,1252,0.0273,0.0279,3.02,110361.3615,1469593.44,0.1243,0.0929
2023-04,2023,4,1641,1620,4982,1560322.12,950.8361486898234,306.7177635588056,0.0724558196221816,48,42,1238,0.0293,0.0256,3.04,114585.1815,1475304.7000000002,0.002,-0.025
2023-05,2023,5,1709,1680,5100,1588151.65,929.2870977179637,309.38409011117614,0.07638970157987128,52,42,1297,0.0304,0.0246,2.98,125776.78899999999,1501459.71,0.0178,0.0414
2023-06,2023,6,1650,1624,5014,1485367.09,900.2224787878788,293.6872484848485,0.07627272727272728,45,49,1208,0.0273,0.0297,3.04,113732.26749999999,1391540.81,-0.0647,-0.0345
2023-07,2023,7,1712,1672,5196,1562298.78,912.5576985981309,296.7505841121495,0.07558411214953271,55,50,1268,0.0321,0.0292,3.04,116648.58750000001,1473157.0099999998,0.0518,0.0376
2023-08,2023,8,1733,1703,5153,1585424.79,914.8440796306983,305.9059376803231,0.07224466243508366,52,56,1278,0.03,0.0323,2.97,116181.39000000001,1488057.94,0.0148,0.0123
2023-09,2023,9,1665,1634,5062,1543306.82,926.9110030030031,302.10294294294295,0.07123123123123123,58,49,1210,0.0348,0.0294,3.04,114478.9045,1438707.3900000001,-0.0266,-0.0392
2023-10,2023,10,1660,1638,5086,1573039.08,947.6139036144579,304.9875481927711,0.07864457831325301,52,55,1186,0.0313,0.0331,3.06,122896.6275,1484901.58,0.0193,-0.003
2023-11,2023,11,1656,1623,4978,1518312.33,916.8552717391304,300.3043780193237,0.07216183574879227,54,51,1248,0.0326,0.0308,3.01,110027.861,1423706.09,-0.0348,-0.0024
2023-12,2023,12,1726,1705,5124,1587813.81,919.9384762456547,306.24472190034766,0.07233487833140209,50,53,1290,0.029,0.0307,2.97,115972.6485,1489573.69,0.0458,0.0423
2024-01,2024,1,1679,1654,4997,1493946.7,889.783621203097,297.6526622989875,0.07013103037522335,50,51,1245,0.0298,0.0304,2.98,108507.0905,1410060.95,-0.0591,-0.0272
2024-02,2024,2,1562,1545,4692,1412146.91,904.0633226632522,298.45622919334187,0.07352752880921895,46,42,1162,0.0294,0.0269,3.0,105663.29800000001,1327451.0,-0.0548,-0.0697
2024-03,2024,3,1740,1704,5124,1548280.27,889.8162471264368,298.9519482758621,0.0775,50,58,1306,0.0287,0.0333,2.94,114425.9135,1448619.5299999998,0.0964,0.114
2024-04,2024,4,1647,1618,4942,1511151.55,917.5176381299333,303.15950819672133,0.07334547662416514,38,58,1224,0.0231,0.0352,3.0,109027.167,1418394.1400000001,-0.024,-0.0534
2024-05,2024,5,1753,1725,5306,1642609.94,937.0279178551056,305.09544209925843,0.072875071306332,57,58,1320,0.0325,0.0331,3.03,115695.789,1529513.3900000001,0.087,0.0644
2024-06,2024,6,1671,1641,5131,1541772.48,922.6645601436265,303.260197486535,0.07597247157390784,59,49,1237,0.0353,0.0293,3.07,117434.756,1430994.07,-0.0614,-0.0468
2024-07,2024,7,1631,1605,4833,1469460.1,900.9565297363581,299.8881974248927,0.0733292458614347,40,49,1242,0.0245,0.03,2.96,109444.632,1390497.3199999998,-0.0469,-0.0239
2024-08,2024,8,1731,1713,5184,1577272.85,911.1917099942231,301.1539283651069,0.07368573079145002,52,55,1295,0.03,0.0318,2.99,120194.3805,1482785.4500000002,0.0734,0.0613
2024-09,2024,9,1613,1592,4735,1468209.92,910.2355362678239,309.4178549287043,0.077743335399876,52,45,1197,0.0322,0.0279,2.94,112995.14800000002,1374160.0100000002,-0.0691,-0.0682
2024-10,2024,10,1642,1618,4997,1520332.67,925.9029658952496,301.97414129110837,0.0714068209500609,51,45,1226,0.0311,0.0274,3.04,110172.2115,1416317.19,0.0355,0.018
2024-11,2024,11,1624,1599,4926,1529791.33,941.9897352216749,306.6575492610837,0.07318349753694582,54,50,1214,0.0333,0.0308,3.03,110769.98750000002,1425533.2,0.0062,-0.011
2024-12,2024,12,1577,1553,4721,1451073.77,920.1482371591629,305.42823715916296,0.07631578947368421,50,54,1172,0.0317,0.0342,2.99,109061.40600000002,1356153.17,-0.0515,-0.0289
