ProductID,ProductName,TotalQuantity,TotalRevenue,OrderCount,AverageOrderValue,AveragePrice,AverageDiscount,ReturnRate,CancellationRate,UniqueCustomers,UniqueCategories,UniqueBrands,RecentDemand,HistoricalAverageDemand,DemandVolatility,DemandGrowth,repeat_customers,repeat_customer_ratio,avg_customer_frequency_for_product,Category,Brand,DemandOpportunityScore,DemandVolatilityIndex,RealizedUnitPrice,DiscountDepth,StockoutRiskLevel,RecommendedAction
P00027,Winter Jacket,5917,1806053.51,1954,924.2853172978506,300.5997543500512,0.0740532241555783,0.0307062436028659,0.0281473899692937,1917,6,10,266,3.242191780821918,3.388007037284778,-0.0884081647982273,36,0.0187793427230046,1.019300991131977,Electronics,NexPro,28.0,1.045,278.34,0.0741,Stable Replenishment,Maintain automated baseline replenishment cadence
P00028,Jeans,6037,1882591.82,1969,956.1157034027424,304.9883240223464,0.0704164550533265,0.0304723209751142,0.0299644489588623,1934,6,10,339,3.3079452054794523,3.4840594701773906,0.1386726298934348,35,0.0180972078593588,1.0180972078593589,Toys & Games,KiddoFun,86.0,1.0532,283.51,0.0704,Stable Replenishment,Maintain automated baseline replenishment cadence
P00029,T-Shirt,5882,1787855.05,1978,903.8700960566229,302.0205106167846,0.0742669362992922,0.0283114256825075,0.0288169868554095,1951,6,10,247,3.223013698630137,3.388757973893043,-0.1484850202123239,27,0.0138390568939005,1.0138390568939006,Clothing,KiddoFun,13.0,1.0514,279.59,0.0743,Overstock Risk,Deploy targeted promotional markdown to stimulate velocity
P00030,Dress Shirt,5960,1896765.36,2007,945.074917787743,312.3089187842551,0.0722969606377678,0.0358744394618834,0.0373692077727952,1967,6,10,297,3.265753424657534,3.482578004208278,0.0104865771812079,39,0.0198271479410269,1.0203355363497713,Clothing,UrbanStyle,78.0,1.0664,289.73,0.0723,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00031,Kids Toy Car,6131,1891082.43,2004,943.6539071856288,305.9766866267465,0.0733033932135728,0.028443113772455,0.029441117764471,1963,6,10,285,3.3594520547945206,3.582991577852209,-0.0573859620507802,41,0.020886398369842,1.0208863983698422,Sports & Outdoors,Apex,59.0,1.0665,283.55,0.0733,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00032,Board Game,6200,1863310.96,2039,913.8356841589014,297.8025649828347,0.0753555664541442,0.0318783717508582,0.0299166257969592,2000,6,10,284,3.3972602739726026,3.583510779574962,-0.0711469534050178,39,0.0195,1.0195,Electronics,CoreTech,46.0,1.0548,275.36,0.0754,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00033,Puzzle 1000pc,5884,1797812.49,1965,914.9172977099236,305.1610687022901,0.0753435114503816,0.0295165394402035,0.0310432569974554,1926,6,10,268,3.224109589041096,3.477948955253955,-0.0764030515899991,39,0.0202492211838006,1.0202492211838006,Electronics,ReadMore,24.0,1.0787,282.17,0.0753,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00034,Desk Organizer,6079,1843103.26,2026,909.7252023692004,302.43639684106614,0.0772211253701875,0.025172754195459,0.0330700888450148,1980,6,10,342,3.330958904109589,3.4366207664969544,0.1408126336568513,44,0.0222222222222222,1.0232323232323233,Clothing,HomeEase,73.0,1.0317,279.08,0.0772,Stable Replenishment,Maintain automated baseline replenishment cadence
P00035,Desk Plant,5847,1759672.62,1941,906.5804327666152,301.9291550747038,0.074909840288511,0.0324574961360123,0.0278207109737248,1911,6,10,246,3.203835616438356,3.315316425211777,-0.1468559375178153,30,0.0156985871271585,1.0156985871271589,Books,HomeEase,8.0,1.0348,279.31,0.0749,Overstock Risk,Deploy targeted promotional markdown to stimulate velocity
P00036,Smart Light Bulb,6131,1868940.58,2036,917.9472396856582,301.59266699410614,0.0751473477406679,0.0343811394891945,0.0299607072691552,1993,6,10,310,3.3594520547945206,3.474704917110939,0.02529947987459,43,0.0215755143000501,1.0215755143000502,Toys & Games,UrbanStyle,72.0,1.0343,278.93,0.0751,Stable Replenishment,Maintain automated baseline replenishment cadence
P00037,Router,6202,1850756.2,2054,901.0497565725414,295.2886075949367,0.0726630963972736,0.0243427458617332,0.0277507302823758,2010,6,10,269,3.3983561643835616,3.659387341806773,-0.1204898061557203,44,0.0218905472636815,1.0218905472636817,Books,BrightLux,39.0,1.0768,273.83,0.0727,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00038,External HDD 2TB,5858,1786108.33,1975,904.358648101266,303.50227341772154,0.0752151898734177,0.0318987341772151,0.0268354430379746,1944,6,10,341,3.20986301369863,3.4110423165319776,0.1803895906832062,31,0.0159465020576131,1.0159465020576133,Home & Kitchen,UrbanStyle,55.0,1.0627,280.67,0.0752,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00039,Graphic Tablet,5789,1786772.26,1981,901.9546996466432,305.72599192327107,0.0747854618879353,0.0287733467945482,0.0323069156991418,1948,6,10,293,3.172054794520548,3.335742670480232,0.0263238709429762,33,0.0169404517453798,1.01694045174538,Toys & Games,KiddoFun,45.0,1.0516,282.86,0.0748,Stable Replenishment,Maintain automated baseline replenishment cadence
P00040,Microphone,6196,1871740.68,2034,920.2264896755162,301.6710078662733,0.0721976401179941,0.0245821042281219,0.0334316617502458,1996,6,10,308,3.395068493150685,3.494054757636626,0.0079979915357577,38,0.0190380761523046,1.0190380761523046,Home & Kitchen,UrbanStyle,69.0,1.0292,279.89,0.0722,Stable Replenishment,Maintain automated baseline replenishment cadence
P00041,Webcam Full HD,6002,1799332.82,2013,893.8563437655241,299.1981917536016,0.0737456532538499,0.0352707401887729,0.0233482364629905,1974,6,10,302,3.288767123287671,3.5191222401365607,0.020308045466326,39,0.019756838905775,1.0197568389057752,Home & Kitchen,Zenith,48.0,1.07,277.13,0.0737,High Stockout Risk,Increase safety stock buffer & prioritize supplier SLA
P00042,Projector Mini,5873,1805867.58,1976,913.900597165992,304.01404352226723,0.0709261133603239,0.0232793522267206,0.0323886639676113,1943,6,10,284,3.2180821917808218,3.5256891891645363,-0.0194297822426546,32,0.0164693772516726,1.0169840452907877,Home & Kitchen,KiddoFun,43.0,1.0956,282.45,0.0709,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00043,HDMI Cable 2m,5985,1847856.25,2002,923.00511988012,304.16283716283715,0.0737262737262737,0.0334665334665334,0.0339660339660339,1970,6,10,312,3.2794520547945205,3.4749636698257715,0.0570871623503201,32,0.016243654822335,1.016243654822335,Electronics,NexPro,68.0,1.0596,281.74,0.0737,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00044,Power Bank 20000mAh,5931,1794738.58,1966,912.8883926754831,302.11599694811804,0.0785605289928789,0.0325534079348931,0.0269582909460834,1933,6,10,277,3.24986301369863,3.3842111523615563,-0.0529515352479439,32,0.0165545783755819,1.017071908949819,Clothing,UrbanStyle,30.0,1.0413,278.38,0.0786,Stable Replenishment,Maintain automated baseline replenishment cadence
P00045,Phone Tripod,5944,1866256.31,1996,934.9981513026052,309.04788577154306,0.0743486973947895,0.0270541082164328,0.0275551102204408,1952,6,10,293,3.2569863013698632,3.4272253483072554,-0.0004392851802004,43,0.0220286885245901,1.022540983606557,Toys & Games,ReadMore,64.0,1.0523,286.07,0.0743,Stable Replenishment,Maintain automated baseline replenishment cadence
P00046,Car Charger,5754,1779795.27,1917,928.4273708920188,303.16596765779866,0.0727438706311945,0.0292123109024517,0.0297339593114241,1878,6,10,227,3.152876712328767,3.405551082911916,-0.2000251033097748,38,0.020234291799787,1.0207667731629393,Books,HomeEase,6.0,1.0801,281.11,0.0727,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00047,Memory Card 128GB,6240,1935138.4,2039,949.0624816086316,307.71205002452183,0.079009318293281,0.032368808239333,0.0333496812162824,2003,6,10,288,3.419178082191781,3.498145558777757,-0.0641025641025641,36,0.0179730404393409,1.017973040439341,Electronics,CoreTech,65.0,1.0231,283.4,0.079,Stable Replenishment,Maintain automated baseline replenishment cadence
P00048,Wireless Charger,6079,1812628.92,2034,891.1646607669616,297.3102064896755,0.0715585054080629,0.0290068829891838,0.0270403146509341,2001,6,10,307,3.330958904109589,3.505329653103777,0.0240628027270566,31,0.0154922538730634,1.0164917541229386,Clothing,HomeEase,54.0,1.0523,276.04,0.0716,Stable Replenishment,Maintain automated baseline replenishment cadence
P00049,Children's Book,5619,1738112.57,1914,908.1047910135842,307.3121786833856,0.0732497387669801,0.0318704284221525,0.0365726227795193,1885,6,10,264,3.078904109589041,3.2902898915286487,-0.0472800616954381,28,0.0148541114058355,1.015384615384615,Sports & Outdoors,FitLife,20.0,1.0687,284.8,0.0732,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
P00050,Novel Bestseller,5894,1803054.57,1962,918.9880581039756,301.9253109072375,0.0765545361875637,0.0285423037716615,0.0316004077471967,1926,6,10,312,3.2295890410958905,3.4315680229846928,0.0734079855219997,36,0.0186915887850467,1.0186915887850467,Electronics,NexPro,56.0,1.0625,278.81,0.0766,Moderate Volatility Risk,Implement weekly dynamic replenishment rebalancing
