CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,UniqueProducts,UniqueCategories,ReturnRate,CancellationRate,AverageDiscount,AverageOrderFrequency,first_order_date,last_order_date,ActiveDays,customer_segment,ExpectedPurchaseCycle,OverdueRatio,ChurnRiskScore,CustomerLoyaltyIndex,RetentionPriority
CUST000022,1068,3,3460.8,10,1153.6,3,2,0.0,0.0,0.1833333333333333,0.0054446460980036,2020-07-25,2022-01-26,551,1,275.5,3.88,1.0,71.43,Re-engagement Push
CUST000023,332,1,1707.39,4,1707.39,1,1,0.0,0.0,0.2,1.0,2024-02-01,2024-02-01,1,0,90.0,3.69,0.9096,28.42,Reactivation Offer
CUST000024,964,1,841.88,4,841.88,1,1,0.0,0.0,0.05,1.0,2022-05-10,2022-05-10,1,0,90.0,10.71,1.0,18.99,Reactivation Offer
CUST000025,573,2,627.88,5,313.94,2,2,0.0,0.5,0.225,0.0023094688221709,2021-01-21,2023-06-05,866,3,365.0,1.57,1.0,40.34,Friction Resolution
CUST000026,569,2,2405.37,5,1202.685,2,1,0.0,0.0,0.0,0.010752688172043,2022-12-06,2023-06-09,186,0,186.0,3.06,1.0,51.5,Reactivation Offer
CUST000027,154,2,1713.44,4,856.72,2,2,0.0,0.0,0.125,0.0025873221216041,2022-06-17,2024-07-28,773,1,365.0,0.42,0.4219,51.26,Cross-sell Campaign
CUST000029,1403,3,2454.36,8,818.1199999999999,3,3,0.0,0.0,0.0166666666666666,0.0160427807486631,2020-08-23,2021-02-25,187,1,93.5,15.01,1.0,61.03,Re-engagement Push
CUST000030,470,4,968.95,9,242.2375,4,3,0.0,0.0,0.025,0.0030651340996168,2020-02-20,2023-09-16,1305,1,365.0,1.29,1.0,63.87,Re-engagement Push
CUST000031,260,4,4627.38,13,1156.845,4,4,0.0,0.0,0.0875,0.0066006600660066,2022-08-17,2024-04-13,606,2,202.0,1.29,0.7123,81.73,VIP Winback Alert
CUST000032,463,2,897.27,4,448.635,2,2,0.0,0.0,0.075,0.0018331805682859,2020-09-28,2023-09-23,1091,1,365.0,1.27,1.0,46.06,Re-engagement Push
CUST000033,1241,2,722.64,6,361.32,2,2,0.5,0.0,0.0,0.0042372881355932,2020-04-22,2021-08-06,472,0,365.0,3.4,1.0,37.09,Reactivation Offer
CUST000037,399,2,3833.86,8,1916.93,2,2,0.5,0.0,0.1,0.0014224751066856,2020-01-21,2023-11-26,1406,1,365.0,1.09,1.0,73.5,Re-engagement Push
CUST000038,895,2,907.23,5,453.615,2,2,0.0,0.0,0.15,0.0025157232704402,2020-05-15,2022-07-18,795,1,365.0,2.45,1.0,42.79,Re-engagement Push
CUST000039,7,2,128.68,7,64.34,2,1,0.0,0.0,0.075,0.0067340067340067,2024-03-01,2024-12-22,297,1,297.0,0.02,0.0192,28.15,Cross-sell Campaign
CUST000040,1349,1,191.74,1,191.74,1,1,0.0,0.0,0.25,1.0,2021-04-20,2021-04-20,1,0,90.0,14.99,1.0,11.15,Reactivation Offer
CUST000041,636,3,1793.55,10,597.85,3,2,0.0,0.0,0.0333333333333333,0.0032894736842105,2020-10-04,2023-04-03,912,1,365.0,1.74,1.0,62.74,Re-engagement Push
CUST000042,1071,2,1298.03,4,649.015,2,2,0.0,0.0,0.025,0.0066225165562913,2021-03-28,2022-01-23,302,0,302.0,3.55,1.0,41.83,Reactivation Offer
CUST000043,480,1,497.33,2,497.33,1,1,0.0,0.0,0.0,1.0,2023-09-06,2023-09-06,1,0,90.0,5.33,1.0,14.87,Reactivation Offer
CUST000044,344,3,3636.77,10,1212.256666666667,3,2,0.0,0.0,0.0166666666666666,0.0036540803897685,2021-10-22,2024-01-20,821,1,365.0,0.94,0.9425,75.3,Re-engagement Push
CUST000046,235,4,2558.53,7,639.6324999999999,4,3,0.0,0.0,0.075,0.0027720027720027,2020-05-27,2024-05-08,1443,2,365.0,0.64,0.6438,80.98,VIP Winback Alert
CUST000047,1280,2,1081.39,6,540.6949999999999,2,2,0.0,0.0,0.05,0.0068965517241379,2020-09-12,2021-06-28,290,0,290.0,4.41,1.0,39.32,Reactivation Offer
CUST000048,1108,1,1463.6,3,1463.6,1,1,0.0,0.0,0.1,1.0,2021-12-17,2021-12-17,1,0,90.0,12.31,1.0,25.9,Reactivation Offer
CUST000049,724,2,2925.89,6,1462.945,2,2,0.0,0.0,0.025,0.0067567567567567,2022-03-16,2023-01-05,296,1,296.0,2.45,1.0,56.6,Re-engagement Push
CUST000050,337,2,2380.86,5,1190.43,2,2,0.0,0.0,0.075,0.0029455081001472,2022-03-20,2024-01-27,679,1,365.0,0.92,0.9233,56.47,Re-engagement Push
CUST000051,218,1,758.83,3,758.83,1,1,0.0,0.0,0.15,1.0,2024-05-25,2024-05-25,1,0,90.0,2.42,0.5973,18.06,Reactivation Offer
CUST000052,1708,1,895.66,2,895.66,1,1,0.0,0.0,0.0,1.0,2020-04-26,2020-04-26,1,0,90.0,18.98,1.0,19.62,Reactivation Offer
CUST000053,905,3,1727.68,7,575.8933333333333,3,3,0.0,0.0,0.0833333333333333,0.0037641154328732,2020-05-03,2022-07-08,797,1,365.0,2.48,1.0,60.79,Re-engagement Push
CUST000054,490,3,3251.9,10,1083.9666666666667,3,2,0.3333333333333333,0.0,0.1333333333333333,0.0031055900621118,2021-01-04,2023-08-27,966,1,365.0,1.34,1.0,75.03,Re-engagement Push
CUST000055,619,2,4507.969999999999,10,2253.985,2,2,0.0,0.0,0.15,0.0019900497512437,2020-07-20,2023-04-20,1005,1,365.0,1.7,1.0,71.35,Re-engagement Push
CUST000056,454,2,3346.4300000000003,7,1673.215,2,2,0.0,0.0,0.175,0.0038240917782026,2022-04-28,2023-10-02,523,1,365.0,1.24,1.0,61.47,Re-engagement Push
CUST000058,85,2,651.0300000000001,4,325.51500000000004,2,2,0.0,0.0,0.1,0.001743679163034,2021-08-16,2024-10-05,1147,1,365.0,0.23,0.2329,43.89,Cross-sell Campaign
CUST000059,625,1,1035.29,2,1035.29,1,1,0.0,0.0,0.1,1.0,2023-04-14,2023-04-14,1,0,90.0,6.94,1.0,21.19,Reactivation Offer
CUST000061,706,1,2140.97,4,2140.97,1,1,0.0,0.0,0.15,1.0,2023-01-23,2023-01-23,1,0,90.0,7.84,1.0,32.63,Reactivation Offer
CUST000062,56,6,7146.65,21,1191.1083333333331,6,5,0.0,0.0,0.0583333333333333,0.0039113428943937,2020-08-23,2024-11-03,1534,2,306.8,0.18,0.1534,98.04,VIP Loyalty Care
CUST000063,407,3,1043.59,8,347.8633333333334,3,2,0.0,0.0,0.0666666666666666,0.0041322314049586,2021-11-23,2023-11-18,726,1,363.0,1.12,1.0,52.66,Re-engagement Push
CUST000064,24,4,5024.780000000001,12,1256.1950000000002,4,3,0.0,0.0,0.075,0.0035273368606701,2021-10-29,2024-12-05,1134,2,365.0,0.07,0.0658,88.62,VIP Loyalty Care
CUST000065,62,3,5306.8,15,1768.9333333333334,3,3,0.0,0.0,0.1166666666666666,0.0022953328232593,2021-04-01,2024-10-28,1307,2,365.0,0.17,0.1699,85.48,VIP Loyalty Care
CUST000066,248,2,1223.36,9,611.6800000000001,2,1,0.0,0.5,0.15,0.0063091482649842,2023-06-14,2024-04-25,317,3,317.0,0.78,0.6795,41.17,Friction Resolution
CUST000067,399,2,1106.49,8,553.245,2,2,0.0,0.0,0.1,0.0060975609756097,2023-01-03,2023-11-26,328,1,328.0,1.22,1.0,40.0,Re-engagement Push
CUST000068,878,3,2133.56,5,711.1866666666666,3,2,0.0,0.0,0.0666666666666666,0.0031712473572938,2020-01-02,2022-08-04,946,1,365.0,2.41,1.0,66.4,Re-engagement Push
CUST000069,223,5,9578.62,17,1915.724,5,5,0.0,0.0,0.03,0.003221649484536,2020-02-20,2024-05-20,1552,2,365.0,0.61,0.611,97.54,VIP Winback Alert
CUST000070,2,5,4382.66,15,876.5319999999999,5,3,0.0,0.0,0.0699999999999999,0.0028801843317972,2020-03-28,2024-12-27,1736,2,365.0,0.01,0.0055,94.71,VIP Loyalty Care
CUST000071,647,2,3549.08,9,1774.54,2,2,0.0,0.0,0.025,0.0555555555555555,2023-02-16,2023-03-23,36,1,36.0,17.97,1.0,57.63,Re-engagement Push
CUST000072,301,1,1823.97,5,1823.97,1,1,0.0,0.0,0.25,1.0,2024-03-03,2024-03-03,1,0,90.0,3.34,0.8247,29.58,Reactivation Offer
CUST000073,640,2,364.29,2,182.145,2,2,0.0,0.0,0.0,0.002919708029197,2021-05-15,2023-03-30,685,1,365.0,1.75,1.0,34.93,Re-engagement Push
CUST000074,208,1,936.42,2,936.42,1,1,0.0,0.0,0.0,1.0,2024-06-04,2024-06-04,1,0,90.0,2.31,0.5699,20.08,Reactivation Offer
CUST000075,1735,1,177.35,4,177.35,1,1,0.0,0.0,0.0,1.0,2020-03-30,2020-03-30,1,0,90.0,19.28,1.0,11.01,Reactivation Offer
CUST000076,202,3,3722.78,10,1240.9266666666667,3,3,0.0,0.0,0.1166666666666666,0.0024570024570024,2021-02-06,2024-06-10,1221,2,365.0,0.55,0.5534,80.23,VIP Winback Alert
CUST000077,1674,1,1397.38,5,1397.38,1,1,0.0,0.0,0.05,1.0,2020-05-30,2020-05-30,1,0,90.0,18.6,1.0,25.2,Reactivation Offer
CUST000078,1438,1,126.29,3,126.29,1,1,1.0,0.0,0.05,1.0,2021-01-21,2021-01-21,1,0,90.0,15.98,1.0,10.47,Reactivation Offer
CUST000079,573,1,1401.0,3,1401.0,1,1,0.0,0.0,0.2,1.0,2023-06-05,2023-06-05,1,0,90.0,6.37,1.0,25.25,Reactivation Offer
CUST000080,1687,2,1546.23,9,773.115,2,2,0.0,0.0,0.175,0.0277777777777777,2020-03-07,2020-05-17,72,0,72.0,23.43,1.0,42.21,Reactivation Offer
CUST000081,1654,1,625.81,3,625.81,1,1,0.0,0.0,0.05,1.0,2020-06-19,2020-06-19,1,0,90.0,18.38,1.0,16.5,Reactivation Offer
CUST000082,1186,2,3002.29,8,1501.145,2,2,0.0,0.0,0.075,0.0166666666666666,2021-06-03,2021-09-30,120,1,120.0,9.88,1.0,55.37,Re-engagement Push
CUST000083,506,2,2052.11,5,1026.0549999999998,2,2,0.0,0.0,0.0,0.0240963855421686,2023-05-21,2023-08-11,83,1,83.0,6.1,1.0,47.39,Re-engagement Push
CUST000084,1618,1,113.97,4,113.97,1,1,0.0,0.0,0.0,1.0,2020-07-25,2020-07-25,1,0,90.0,17.98,1.0,10.33,Reactivation Offer
CUST000085,257,3,875.5799999999999,4,291.86,3,3,0.0,0.0,0.0833333333333333,0.0025929127052722,2021-02-15,2024-04-16,1157,1,365.0,0.7,0.7041,55.69,Re-engagement Push
CUST000086,346,5,5106.34,17,1021.268,5,4,0.0,0.0,0.0,0.0037425149700598,2020-05-23,2024-01-18,1336,2,334.0,1.04,0.9479,93.53,VIP Winback Alert
CUST000087,1293,2,1926.64,6,963.32,2,2,0.0,0.0,0.125,0.0074626865671641,2020-09-21,2021-06-15,268,0,268.0,4.82,1.0,47.98,Reactivation Offer
CUST000088,1023,1,738.67,3,738.67,1,1,0.0,0.0,0.1,1.0,2022-03-12,2022-03-12,1,0,90.0,11.37,1.0,17.83,Reactivation Offer
CUST000089,885,1,552.31,4,552.31,1,1,0.0,0.0,0.05,1.0,2022-07-28,2022-07-28,1,0,90.0,9.83,1.0,15.59,Reactivation Offer
CUST000091,1479,1,944.65,4,944.65,1,1,1.0,0.0,0.2,1.0,2020-12-11,2020-12-11,1,0,90.0,16.43,1.0,20.18,Reactivation Offer
CUST000092,187,2,2097.69,6,1048.845,2,2,0.5,0.0,0.1,0.0019646365422396,2021-09-12,2024-06-25,1018,1,365.0,0.51,0.5123,57.8,Cross-sell Campaign
CUST000093,386,3,1959.58,11,653.1933333333333,3,2,0.0,0.0,0.0666666666666666,0.002269288956127,2020-04-27,2023-12-09,1322,1,365.0,1.06,1.0,68.99,Re-engagement Push
CUST000094,565,1,680.74,5,680.74,1,1,0.0,0.0,0.1,1.0,2023-06-13,2023-06-13,1,0,90.0,6.28,1.0,17.17,Reactivation Offer
CUST000095,935,2,2744.84,6,1372.42,2,2,0.0,0.0,0.075,0.0035273368606701,2020-11-19,2022-06-08,567,1,365.0,2.56,1.0,58.12,Re-engagement Push
CUST000096,233,4,3768.67,13,942.1675,4,3,0.0,0.0,0.075,0.0048721071863581,2022-02-10,2024-05-10,821,2,273.7,0.85,0.6384,81.37,VIP Winback Alert
CUST000097,1141,1,191.43,1,191.43,1,1,0.0,0.0,0.0,1.0,2021-11-14,2021-11-14,1,0,90.0,12.68,1.0,11.14,Reactivation Offer
CUST000098,5,1,290.85,1,290.85,1,1,0.0,0.0,0.05,1.0,2024-12-24,2024-12-24,1,0,90.0,0.06,0.0137,12.28,Reactivation Offer
CUST000099,968,2,3654.03,9,1827.015,2,2,0.0,0.0,0.05,0.0150375939849624,2021-12-25,2022-05-06,133,1,133.0,7.28,1.0,58.99,Re-engagement Push
CUST000100,787,2,2897.41,7,1448.705,2,2,0.0,0.0,0.125,0.002053388090349,2020-03-05,2022-11-03,974,1,365.0,2.16,1.0,63.84,Re-engagement Push
CUST000101,680,2,730.36,6,365.18,2,2,0.0,0.0,0.175,0.0219780219780219,2022-11-20,2023-02-18,91,0,91.0,7.47,1.0,33.4,Reactivation Offer
CUST000102,145,1,2009.63,4,2009.63,1,1,1.0,0.0,0.25,1.0,2024-08-06,2024-08-06,1,0,90.0,1.61,0.3973,31.43,Reactivation Offer
CUST000103,1232,2,544.31,2,272.155,2,2,0.0,0.0,0.15,0.0070175438596491,2020-11-04,2021-08-15,285,0,285.0,4.32,1.0,33.01,Reactivation Offer
CUST000104,179,2,388.09,7,194.045,2,1,0.0,0.0,0.025,0.0017985611510791,2021-06-18,2024-07-03,1112,1,365.0,0.49,0.4904,40.1,Cross-sell Campaign
CUST000105,362,5,2138.8,10,427.7600000000001,5,3,0.0,0.0,0.0799999999999999,0.0035637918745545,2020-03-01,2024-01-02,1403,2,350.8,1.03,0.9918,79.57,VIP Winback Alert
CUST000107,265,2,1778.95,5,889.475,2,2,0.0,0.0,0.075,0.0025031289111389,2022-01-31,2024-04-08,799,1,365.0,0.73,0.726,52.23,Re-engagement Push
CUST000108,253,4,2228.13,12,557.0325,4,3,0.0,0.0,0.025,0.0138408304498269,2023-07-07,2024-04-20,289,2,96.3,2.63,0.6932,65.59,VIP Winback Alert
CUST000109,349,2,1499.71,5,749.855,2,2,0.0,0.0,0.05,0.025,2023-10-28,2024-01-15,80,1,80.0,4.36,0.9562,41.84,Re-engagement Push
CUST000110,1,3,4204.21,10,1401.4033333333334,3,2,0.0,0.0,0.0833333333333333,0.0018529956763434,2020-07-24,2024-12-28,1619,2,365.0,0.0,0.0027,85.55,VIP Loyalty Care
CUST000112,345,3,3073.67,10,1024.5566666666666,3,3,0.0,0.0,0.0999999999999999,0.004601226993865,2022-04-08,2024-01-19,652,1,326.0,1.06,0.9452,70.39,Re-engagement Push
CUST000113,304,1,292.81,5,292.81,1,1,1.0,0.0,0.0,1.0,2024-02-29,2024-02-29,1,0,90.0,3.38,0.8329,12.31,Reactivation Offer
CUST000115,112,3,2479.67,7,826.5566666666667,3,3,0.0,0.0,0.1333333333333333,0.0024330900243309,2021-04-25,2024-09-08,1233,1,365.0,0.31,0.3068,72.73,Cross-sell Campaign
CUST000116,505,2,2850.11,7,1425.0549999999998,2,2,0.0,0.0,0.025,0.003125,2021-11-11,2023-08-12,640,1,365.0,1.38,1.0,59.72,Re-engagement Push
CUST000119,205,3,2942.56,5,980.8533333333334,3,3,0.3333333333333333,0.0,0.05,0.0024370430544272,2021-01-24,2024-06-07,1231,1,365.0,0.56,0.5616,76.19,Cross-sell Campaign
CUST000120,1381,1,323.0,1,323.0,1,1,0.0,0.0,0.0,1.0,2021-03-19,2021-03-19,1,0,90.0,15.34,1.0,12.64,Reactivation Offer
CUST000121,53,4,4097.08,13,1024.27,4,3,0.0,0.0,0.025,0.0035242290748898,2021-09-29,2024-11-06,1135,2,365.0,0.15,0.1452,86.23,VIP Loyalty Care
CUST000123,41,4,2268.66,7,567.165,4,4,0.0,0.0,0.0625,0.0024875621890547,2020-06-25,2024-11-18,1608,2,365.0,0.11,0.1123,79.74,VIP Loyalty Care
CUST000126,781,4,1522.33,12,380.5825,4,4,0.0,0.0,0.0125,0.0058309037900874,2020-12-24,2022-11-09,686,2,228.7,3.41,1.0,62.94,VIP Winback Alert
CUST000127,106,2,2003.39,4,1001.695,2,2,0.5,0.0,0.025,0.0023866348448687,2022-05-31,2024-09-14,838,1,365.0,0.29,0.2904,54.87,Cross-sell Campaign
CUST000128,461,2,3416.25,7,1708.125,2,2,0.0,0.0,0.075,0.0075471698113207,2023-01-04,2023-09-25,265,1,265.0,1.74,1.0,59.17,Re-engagement Push
CUST000130,1323,1,1486.25,3,1486.25,1,1,0.0,1.0,0.0,1.0,2021-05-16,2021-05-16,1,3,90.0,14.7,1.0,26.15,Friction Resolution
CUST000131,1346,1,2466.19,4,2466.19,1,1,0.0,0.0,0.05,1.0,2021-04-23,2021-04-23,1,0,90.0,14.96,1.0,35.47,Reactivation Offer
CUST000132,1616,1,816.11,2,816.11,1,1,0.0,0.0,0.05,1.0,2020-07-27,2020-07-27,1,0,90.0,17.96,1.0,18.71,Reactivation Offer
CUST000133,1256,1,359.95,5,359.95,1,1,1.0,0.0,0.15,1.0,2021-07-22,2021-07-22,1,0,90.0,13.96,1.0,13.07,Reactivation Offer
CUST000134,729,2,4020.47,8,2010.235,2,1,0.0,0.0,0.05,0.0032467532467532,2021-04-25,2022-12-31,616,1,365.0,2.0,1.0,65.39,Re-engagement Push
CUST000135,265,2,2008.22,4,1004.11,1,2,0.0,0.0,0.05,0.0015910898965791,2020-10-30,2024-04-08,1257,1,365.0,0.73,0.726,59.71,Re-engagement Push
CUST000136,1031,1,297.72,2,297.72,1,1,0.0,0.0,0.0,1.0,2022-03-04,2022-03-04,1,0,90.0,11.46,1.0,12.36,Reactivation Offer
CUST000137,108,4,4621.53,11,1155.3825,4,4,0.0,0.0,0.1,0.0038986354775828,2021-11-22,2024-09-12,1026,2,342.0,0.32,0.2959,86.5,VIP Loyalty Care
CUST000138,11,6,5457.71,25,909.6183333333332,6,3,0.1666666666666666,0.0,0.0499999999999999,0.0081521739130434,2022-12-14,2024-12-18,736,2,147.2,0.07,0.0301,88.29,VIP Loyalty Care
CUST000139,75,6,5485.71,20,914.285,5,3,0.3333333333333333,0.0,0.075,0.0036697247706422,2020-04-25,2024-10-15,1635,2,327.0,0.23,0.2055,97.45,VIP Loyalty Care
CUST000140,326,1,1140.76,4,1140.76,1,1,0.0,1.0,0.1,1.0,2024-02-07,2024-02-07,1,3,90.0,3.62,0.8932,22.41,Friction Resolution
CUST000141,886,3,1156.37,7,385.45666666666665,3,2,0.0,0.3333333333333333,0.1999999999999999,0.0077120822622107,2021-07-04,2022-07-27,389,1,194.5,4.56,1.0,50.23,Re-engagement Push
CUST000144,1800,1,203.06,5,203.06,1,1,0.0,0.0,0.1,1.0,2020-01-25,2020-01-25,1,0,90.0,20.0,1.0,11.27,Reactivation Offer
CUST000145,1694,1,2649.96,5,2649.96,1,1,0.0,0.0,0.0,1.0,2020-05-10,2020-05-10,1,0,90.0,18.82,1.0,36.98,Reactivation Offer
CUST000146,97,3,1374.51,8,458.17,3,2,0.0,0.0,0.0166666666666666,0.0029527559055118,2021-12-13,2024-09-23,1016,1,365.0,0.27,0.2658,59.61,Cross-sell Campaign
CUST000147,823,2,1693.52,9,846.76,2,1,0.0,0.0,0.075,0.0137931034482758,2022-05-07,2022-09-28,145,0,145.0,5.68,1.0,44.44,Reactivation Offer
CUST000148,590,1,783.58,2,783.58,1,1,0.0,0.0,0.0,1.0,2023-05-19,2023-05-19,1,0,90.0,6.56,1.0,18.35,Reactivation Offer
CUST000149,121,2,1270.2,6,635.1,2,2,0.0,0.0,0.025,0.0024330900243309,2022-06-01,2024-08-30,822,1,365.0,0.33,0.3315,47.17,Cross-sell Campaign
CUST000150,1136,1,1379.35,3,1379.35,1,1,0.0,0.0,0.05,1.0,2021-11-19,2021-11-19,1,0,90.0,12.62,1.0,24.99,Reactivation Offer
CUST000151,500,3,1911.28,8,637.0933333333334,3,3,0.0,0.0,0.1166666666666666,0.0025252525252525,2020-05-17,2023-08-17,1188,1,365.0,1.37,1.0,67.1,Re-engagement Push
CUST000152,1194,5,1459.8200000000002,7,291.96400000000006,5,3,0.0,0.0,0.06,0.0094517958412098,2020-04-12,2021-09-22,529,2,132.2,9.03,1.0,63.13,VIP Winback Alert
CUST000153,662,1,57.05,1,57.05,1,1,0.0,0.0,0.0,1.0,2023-03-08,2023-03-08,1,0,90.0,7.36,1.0,9.79,Reactivation Offer
CUST000154,467,2,1370.74,5,685.37,2,2,0.0,0.0,0.025,0.002020202020202,2021-01-03,2023-09-19,990,1,365.0,1.28,1.0,50.18,Re-engagement Push
CUST000155,1649,1,1761.45,5,1761.45,1,1,0.0,0.0,0.3,1.0,2020-06-24,2020-06-24,1,0,90.0,18.32,1.0,28.98,Reactivation Offer
CUST000156,190,2,1777.3300000000002,9,888.6650000000001,2,2,0.0,0.0,0.125,0.0063091482649842,2023-08-11,2024-06-22,317,1,317.0,0.6,0.5205,46.98,Cross-sell Campaign
CUST000157,1380,2,1238.46,3,619.23,2,2,0.0,0.0,0.025,0.0045662100456621,2020-01-08,2021-03-20,438,0,365.0,3.78,1.0,42.56,Reactivation Offer
CUST000158,899,3,2935.98,11,978.66,3,3,0.0,0.0,0.1333333333333333,0.0085470085470085,2021-07-29,2022-07-14,351,1,175.5,5.12,1.0,66.31,Re-engagement Push
CUST000159,290,2,2122.01,5,1061.005,2,2,0.0,0.0,0.125,0.0045454545454545,2022-12-31,2024-03-14,440,1,365.0,0.79,0.7945,51.55,Re-engagement Push
CUST000160,964,5,1988.16,14,397.632,4,3,0.2,0.0,0.03,0.0060313630880579,2020-02-02,2022-05-10,829,2,207.2,4.65,1.0,71.8,VIP Winback Alert
CUST000161,162,3,2252.22,7,750.7399999999999,3,3,0.0,0.0,0.0833333333333333,0.0032017075773745,2021-12-27,2024-07-20,937,1,365.0,0.44,0.4438,67.38,Cross-sell Campaign
CUST000162,430,1,745.36,4,745.36,1,1,0.0,0.0,0.0,1.0,2023-10-26,2023-10-26,1,0,90.0,4.78,1.0,17.91,Reactivation Offer
CUST000163,1436,1,1089.83,5,1089.83,1,1,0.0,0.0,0.05,1.0,2021-01-23,2021-01-23,1,0,90.0,15.96,1.0,21.85,Reactivation Offer
CUST000164,424,5,4248.28,13,849.656,5,3,0.2,0.0,0.06,0.0040453074433656,2020-06-14,2023-11-01,1236,2,309.0,1.37,1.0,90.44,VIP Winback Alert
CUST000165,453,1,865.32,4,865.32,1,1,0.0,0.0,0.0,1.0,2023-10-03,2023-10-03,1,0,90.0,5.03,1.0,19.26,Reactivation Offer
CUST000166,588,2,2935.28,7,1467.64,2,2,0.0,0.0,0.025,0.0053475935828877,2022-05-13,2023-05-21,374,1,365.0,1.61,1.0,57.44,Re-engagement Push
CUST000167,1492,1,171.97,1,171.97,1,1,0.0,0.0,0.25,1.0,2020-11-28,2020-11-28,1,0,90.0,16.58,1.0,10.94,Reactivation Offer
CUST000168,744,1,2442.34,4,2442.34,1,1,0.0,1.0,0.0,1.0,2022-12-16,2022-12-16,1,3,90.0,8.27,1.0,35.26,Friction Resolution
CUST000169,102,4,6813.650000000001,15,1703.4125,4,3,0.0,0.0,0.0625,0.0041623309053069,2022-02-01,2024-09-18,961,2,320.3,0.32,0.2795,88.43,VIP Loyalty Care
CUST000170,369,4,4652.0,15,1163.0,4,4,0.0,0.0,0.0625,0.0032128514056224,2020-07-30,2023-12-26,1245,2,365.0,1.01,1.0,89.08,VIP Winback Alert
